"Time","Event",""
"00:04:20.965","Harmlessharm dies from Coilfang Guardian 6's  Arcing Smash",""
"00:05:14.315","Hipster dies from The Lurker Below's  Spout",""
"00:05:24.741","Zarkov dies from Coilfang Frenzy 25's  Melee",""
"00:06:14.678","Silenzio dies from Coilfang Frenzy 60 (Silenzio)'s  Melee",""
"00:06:18.361","Daxa dies from The Lurker Below's  Spout",""
"00:06:40.185","Razgore dies from Coilfang Guardian 9's  Melee",""
"00:07:47.085","Undergang dies from The Lurker Below's  Spout",""
"00:08:05.214","Ixam dies from The Lurker Below's  Melee",""
"00:08:09.412","Fourxxz dies from Coilfang Frenzy 1 (Fourxxz)'s  Melee",""
"00:08:22.930","Harmlessharm dies from Coilfang Frenzy 109 (Harmlessharm)'s  Melee",""
"00:08:24.462","Fourxxz dies",""
"00:08:40.537","Blowmeister dies from The Lurker Below's  Spout",""
"00:08:43.638","Royalblood dies from Coilfang Frenzy 115's  Melee",""
"00:08:55.099","Quelzan dies from The Lurker Below's  Spout",""
"00:09:05.890","Mayyday dies from Coilfang Ambusher 3's  Melee",""
"00:09:17.228","Gogoroth dies from Coilfang Guardian 11's  Arcing Smash",""
"00:09:23.390","Talasi dies from Coilfang Ambusher 2's  Spread Shot",""
"00:09:28.924","Kroggar dies from Coilfang Guardian 10's  Melee",""
"00:09:30.918","Zulnabor dies from Coilfang Guardian 10's  Melee",""
"00:09:31.365","Nóddy dies",""
"00:09:33.856","Kaarism dies from Coilfang Guardian 10's  Hamstring",""
"00:09:44.068","Nerfh dies from Coilfang Ambusher 4's  Shoot",""
"00:09:44.200","Harahsjorn dies from Coilfang Ambusher 1's  Shoot",""
"00:09:47.099","Ckydayle dies from Coilfang Ambusher 3's  Shoot",""
"00:09:47.357","Thaalia dies from Coilfang Guardian 12's  Melee",""
"00:09:48.135","Nóddy dies from Coilfang Ambusher 2's  Spread Shot",""
"00:09:48.513","Silenzio dies from Coilfang Guardian 11's  Melee",""
"00:09:49.374","Mypka dies from Coilfang Guardian 12's  Melee",""
"00:09:51.650","Keyzer dies from Coilfang Guardian 12's  Melee",""
