"Time","Event",""
"00:00:51.535","Kaarism dies from The Lurker Below's  Spout",""
"00:00:52.924","Fourxxz dies from The Lurker Below's  Spout",""
"00:00:55.799","Thaalia dies from Environment's  Scalding Water",""
"00:01:07.955","Fourxxz dies from Environment's  Scalding Water",""
"00:01:44.034","Silenzio dies from Coilfang Guardian 3's  Arcing Smash",""
"00:01:44.034","Nerfh dies from Coilfang Guardian 3's  Arcing Smash",""
"00:01:46.177","Kaarism dies from Environment's  Scalding Water",""
"00:02:49.284","Ckydayle dies from The Lurker Below's  Spout",""
"00:02:53.220","Nóddy dies from Environment's  Scalding Water",""
"00:03:13.069","Zarkov dies from Coilfang Ambusher 4's  Melee",""
"00:03:37.897","Royalblood dies from The Lurker Below's  Spout",""
"00:03:48.649","Silenzio dies from Coilfang Ambusher 4's  Spread Shot",""
"00:03:50.470","Blowmeister dies from Coilfang Ambusher 2's  Melee",""
"00:03:52.821","Talasi dies from Environment's  Scalding Water",""
"00:03:56.752","Daxa dies from The Lurker Below's  Geyser",""
"00:04:12.237","Undergang dies from Coilfang Guardian 5's  Melee",""
"00:04:18.267","Quelzan dies from Coilfang Ambusher 4's  Spread Shot",""
"00:04:21.493","Harmlessharm dies from Environment's  Scalding Water",""
"00:04:22.489","Razgore dies from Coilfang Guardian 5's  Melee",""
"00:04:30.182","Ixam dies from Coilfang Ambusher 4's  Shoot",""
"00:04:30.852","Zulnabor dies from Coilfang Guardian 6's  Melee",""
"00:04:30.852","Mypka dies from Coilfang Guardian 4's  Hamstring",""
"00:04:31.695","Kroggar dies from Coilfang Guardian 4's  Melee",""
"00:04:32.048","Gogoroth dies from Coilfang Ambusher 4's  Spread Shot",""
"00:04:32.413","Hipster dies from Coilfang Guardian 5's  Hamstring",""
"00:04:35.666","Harahsjorn dies from Coilfang Guardian 4's  Melee",""
"00:04:38.063","Keyzer dies from Coilfang Ambusher 4's  Shoot",""
"00:04:39.243","Mayyday dies from Coilfang Ambusher 5's  Spread Shot",""
