"Time","Event",""
"00:00:00.031","Mypka dies from The Lurker Below's  Melee",""
"00:00:59.694","Harahsjorn dies from The Lurker Below's  Spout",""
"00:01:27.156","Gogoroth dies from The Lurker Below's  Water Bolt",""
"00:01:51.155","Daxa dies from Coilfang Guardian 1's  Arcing Smash",""
"00:02:50.125","Silenzio dies from Coilfang Frenzy 67's  Melee",""
"00:03:03.300","Quelzan dies from The Lurker Below's  Water Bolt",""
"00:03:21.169","Hipster dies from Coilfang Frenzy 85 (Kaarism)'s  Melee",""
"00:03:37.507","Fourxxz dies from The Lurker Below's  Spout",""
"00:03:45.098","Nerfh dies from Coilfang Frenzy 99's  Melee",""
"00:03:48.007","Ckydayle dies from Coilfang Frenzy 1 (Ckydayle)'s  Melee",""
"00:03:52.530","Fourxxz dies",""
"00:03:59.593","Ixam dies from The Lurker Below's  Melee",""
"00:04:01.585","Razgore dies from The Lurker Below's  Melee",""
"00:04:04.409","Mayyday dies",""
"00:04:08.530","Gogoroth dies from Coilfang Ambusher 1's  Shoot",""
"00:04:09.852","Kroggar dies from Coilfang Guardian 4's  Melee",""
"00:04:10.028","Nóddy dies",""
"00:04:13.009","Zarkov dies from Coilfang Ambusher 4's  Melee",""
"00:04:16.633","Harmlessharm dies from Coilfang Guardian 4's  Melee",""
"00:04:17.045","Royalblood dies from Coilfang Ambusher 2's  Shoot",""
"00:04:22.701","Keyzer dies from Coilfang Guardian 6's  Melee",""
"00:04:24.503","Blowmeister dies from Coilfang Ambusher 1's  Spread Shot",""
"00:04:26.782","Undergang dies from Coilfang Ambusher 6's  Spread Shot",""
"00:04:29.596","Thaalia dies from Coilfang Guardian 4's  Arcing Smash",""
"00:04:30.532","Mayyday dies from Coilfang Ambusher 4's  Spread Shot",""
"00:04:31.592","Zulnabor dies from Coilfang Ambusher 6's  Shoot",""
"00:04:34.038","Talasi dies from Coilfang Guardian 6's  Hamstring",""
"00:04:37.608","Kaarism dies from Coilfang Ambusher 1's  Shoot",""
"00:04:39.441","Mypka dies from Coilfang Ambusher 6's  Spread Shot",""
