"Time","Event",""
"00:00:02.042","Kroggar dies from The Lurker Below's  Melee",""
"00:02:43.485","Hipster dies from The Lurker Below's  Spout",""
"00:02:44.259","Blowmeister dies from The Lurker Below's  Spout",""
"00:03:50.824","Nerfh dies from Environment's  Scalding Water",""
"00:04:27.462","Quelzan dies from Coilfang Guardian 6's  Arcing Smash",""
"00:05:35.566","Harahsjorn dies from Environment's  Scalding Water",""
"00:05:53.999","Zulnabor dies from The Lurker Below's  Water Bolt",""
"00:06:19.503","Daxa dies from The Lurker Below's  Spout",""
"00:06:19.824","Royalblood dies from Coilfang Ambusher 6's  Shoot",""
"00:06:33.317","Ckydayle dies from Coilfang Ambusher 5's  Melee",""
"00:06:35.117","Mayyday dies",""
"00:06:38.348","Gogoroth dies from Coilfang Ambusher 1's  Shoot",""
"00:06:38.476","Nóddy dies",""
"00:06:45.095","Harmlessharm dies from Coilfang Ambusher 6's  Melee",""
"00:06:46.377","Mypka dies from Coilfang Guardian 9's  Arcing Smash",""
"00:06:49.278","Keyzer dies from Coilfang Ambusher 1's  Spread Shot",""
"00:06:52.751","Undergang dies from Coilfang Ambusher 5's  Spread Shot",""
"00:06:54.081","Thaalia dies from Coilfang Guardian 8's  Melee",""
"00:06:54.718","Razgore dies from Coilfang Guardian 7's  Melee",""
"00:06:56.392","Zarkov dies from Coilfang Ambusher 3's  Melee",""
"00:06:59.418","Silenzio dies from Coilfang Ambusher 6's  Shoot",""
"00:07:01.786","Fourxxz dies",""
"00:07:02.886","Ixam dies from Coilfang Guardian 8's  Melee",""
"00:07:02.918","Talasi dies from Coilfang Guardian 9's  Melee",""
"00:07:03.086","Kaarism dies from Coilfang Ambusher 6's  Spread Shot",""
